n_interven,personaje,texto,jornada,versos,n_versos
0,ROSAURA,"Hipogrifo violento,
que corriste parejas con el viento,
¿dónde rayo sin llama,

pájaro sin matiz, pez sin escama
y bruto sin instinto 
natural, al confuso laberinto
de esas desnudas peñas te desbocas,
te arrastras y despeñas?
Quédate en este monte,
donde tengan los brutos su Faetonte; 
que yo, sin más camino
que el que me dan las leyes del destino,
ciega y desesperada,
bajaré la cabeza enmarañada
deste monte eminente 
que arruga el sol el ceño de la frente.

Mal, Polonia, recibes
a un extranjero, pues con sangre escribes
su entrada en tus arenas;
y apenas llega, cuando llega a penas. 
Bien mi suerte lo dice;
mas ¿dónde halló piedad un infelice?",1,"['Hipogrifo violento,', 'que corriste parejas con el viento,', '¿dónde rayo sin llama,', 'pájaro sin matiz, pez sin escama', 'y bruto sin instinto ', 'natural, al confuso laberinto', 'de esas desnudas peñas te desbocas,', 'te arrastras y despeñas?', 'Quédate en este monte,', 'donde tengan los brutos su Faetonte; ', 'que yo, sin más camino', 'que el que me dan las leyes del destino,', 'ciega y desesperada,', 'bajaré la cabeza enmarañada', 'deste monte eminente ', 'que arruga el sol el ceño de la frente.', 'Mal, Polonia, recibes', 'a un extranjero, pues con sangre escribes', 'su entrada en tus arenas;', 'y apenas llega, cuando llega a penas. ', 'Bien mi suerte lo dice;', 'mas ¿dónde halló piedad un infelice?']",22
1,CLARÍN,"Di dos, y no me dejes
en la posada a mí cuando te quejes;
que si dos hemos sido 
los que de nuestra patria hemos salido
a probar aventuras,
dos los que entre desdichas y locuras
aquí habemos llegado,
y dos los que del monte hemos rodado, 
¿no es razón que yo sienta
meterme en el pesar y no en la cuenta?",1,"['Di dos, y no me dejes', 'en la posada a mí cuando te quejes;', 'que si dos hemos sido ', 'los que de nuestra patria hemos salido', 'a probar aventuras,', 'dos los que entre desdichas y locuras', 'aquí habemos llegado,', 'y dos los que del monte hemos rodado, ', '¿no es razón que yo sienta', 'meterme en el pesar y no en la cuenta?']",10
2,ROSAURA,"No quise darte parte
en mis quejas, Clarín, por no quitarte,
llorando tu desvelo, 
el derecho que tienes al consuelo;
que tanto gusto había
en quejarse, un filósofo decía,

que, a trueco de quejarse,
habían las desdichas de buscarse. ",1,"['No quise darte parte', 'en mis quejas, Clarín, por no quitarte,', 'llorando tu desvelo, ', 'el derecho que tienes al consuelo;', 'que tanto gusto había', 'en quejarse, un filósofo decía,', 'que, a trueco de quejarse,', 'habían las desdichas de buscarse. ']",8
3,CLARÍN,"El filósofo era
un borracho barbón. ¡Oh, quién le diera
más de mil bofetadas!
Quejárase después de muy bien dadas.
Mas ¿qué haremos, señora, 
a pie, solos, perdidos y a esta hora
en un desierto monte,
cuando se parte el sol a otro horizonte?",1,"['El filósofo era', 'un borracho barbón. ¡Oh, quién le diera', 'más de mil bofetadas!', 'Quejárase después de muy bien dadas.', 'Mas ¿qué haremos, señora, ', 'a pie, solos, perdidos y a esta hora', 'en un desierto monte,', 'cuando se parte el sol a otro horizonte?']",8
4,ROSAURA,"¡Quién ha visto sucesos tan extraños!
Mas si la vista no padece engaños 
que hace la fantasía,
a la medrosa luz que aún tiene el día
me parece que veo
un edificio.",1,"['¡Quién ha visto sucesos tan extraños!', 'Mas si la vista no padece engaños ', 'que hace la fantasía,', 'a la medrosa luz que aún tiene el día', 'me parece que veo', 'un edificio.']",6
5,CLARÍN,"O miente mi deseo,
o termino las señas. ",1,"['O miente mi deseo,', 'o termino las señas. ']",2
6,ROSAURA,"Rústico nace entre desnudas peñas
un palacio tan breve
que el sol apenas a mirar se atreve;
con tan rudo artificio
la arquitectura está de su edificio 
que parece, a las plantas
de tantas rocas y de peñas tantas
que al sol tocan la lumbre,
peñasco que ha rodado de la cumbre.",1,"['Rústico nace entre desnudas peñas', 'un palacio tan breve', 'que el sol apenas a mirar se atreve;', 'con tan rudo artificio', 'la arquitectura está de su edificio ', 'que parece, a las plantas', 'de tantas rocas y de peñas tantas', 'que al sol tocan la lumbre,', 'peñasco que ha rodado de la cumbre.']",9
7,CLARÍN,"Vámonos acercando; 
que éste es mucho mirar, señora, cuando

es mejor que la gente
que habita en ella generosamente
nos admita.",1,"['Vámonos acercando; ', 'que éste es mucho mirar, señora, cuando', 'es mejor que la gente', 'que habita en ella generosamente', 'nos admita.']",5
8,ROSAURA,"La puerta
(mejor diré funesta boca) abierta 
está, y desde su centro
nace la noche, pues la engendra dentro.",1,"['La puerta', '(mejor diré funesta boca) abierta ', 'está, y desde su centro', 'nace la noche, pues la engendra dentro.']",4
9,CLARÍN,"¡Qué es lo que escucho, cielo!",1,"['¡Qué es lo que escucho, cielo!']",1
