seg,col
300,4FF69B4
314,D8BFD8
328,C0C0C0
342,C0C0C0
356,D8BFD8
370,C0C0C0
384,C0C0C0
398,8FBC8B
412,C0C0C0
426,4FF69B4
440,D8BFD8
454,8FBC8B
468,D8BFD8
482,8FBC8B
496,C0C0C0
510,4FF69B4
524,D8BFD8
538,D8BFD8
552,8FBC8B
566,D8BFD8
580,C0C0C0
594,D8BFD8
608,8FBC8B
622,D8BFD8
636,D8BFD8
650,8FBC8B
664,D8BFD8
678,D8BFD8
692,C0C0C0
706,D8BFD8
720,C0C0C0
734,C0C0C0
748,C0C0C0
762,C0C0C0
776,C0C0C0
790,4FF69B4
804,D8BFD8
818,8FBC8B
832,D8BFD8
846,8FBC8B
860,C0C0C0
874,C0C0C0
888,4FF69B4
902,D8BFD8
916,D8BFD8
930,8FBC8B
944,8FBC8B
958,4FF69B4
972,8FBC8B
986,8FBC8B
1000,D8BFD8
1014,8FBC8B
1028,D8BFD8
1042,C0C0C0
1056,C0C0C0
1070,C0C0C0
1084,D8BFD8
1098,D8BFD8
1112,8FBC8B
1126,C0C0C0
1140,D8BFD8
1154,8FBC8B
1168,D8BFD8
1182,D8BFD8
1196,C0C0C0
1210,C0C0C0
1224,C0C0C0
1238,8FBC8B
1252,C0C0C0
1266,C0C0C0
1280,8FBC8B
1294,D8BFD8
1308,C0C0C0
1322,C0C0C0
1336,C0C0C0
1350,C0C0C0
1364,8FBC8B
1378,D8BFD8
1392,C0C0C0
1406,D8BFD8
1420,8FBC8B
1434,4FF69B4
1448,D8BFD8
1462,C0C0C0
1476,8FBC8B
1490,D8BFD8
1504,4FF69B4
1518,8FBC8B
1532,D8BFD8
1546,8FBC8B
1560,C0C0C0
1574,C0C0C0
1588,8FBC8B
1602,4FF69B4
1616,D8BFD8
1630,D8BFD8
1644,4FF69B4
1658,D8BFD8
1672,D8BFD8
1686,C0C0C0
1700,8FBC8B
1714,8FBC8B
1728,C0C0C0
1742,C0C0C0
1756,C0C0C0
1770,D8BFD8
1784,D8BFD8
1798,C0C0C0
1812,8FBC8B
1826,8FBC8B
1840,C0C0C0
1854,8FBC8B
1868,8FBC8B
1882,4FF69B4
1896,C0C0C0
1910,C0C0C0
1924,D8BFD8
1938,C0C0C0
1952,8FBC8B
1966,C0C0C0
1980,8FBC8B
1994,C0C0C0
2008,D8BFD8
2022,4FF69B4
2036,8FBC8B
2050,D8BFD8
2064,D8BFD8
2078,C0C0C0
2092,8FBC8B
2106,8FBC8B
2120,C0C0C0
2134,D8BFD8
2148,4FF69B4
2162,C0C0C0
2176,D8BFD8
2190,C0C0C0
2204,4FF69B4
2218,D8BFD8
2232,D8BFD8
2246,C0C0C0
2260,D8BFD8
2274,D8BFD8
2288,4FF69B4
2302,4FF69B4
2316,C0C0C0
2330,C0C0C0
2344,C0C0C0
2358,C0C0C0
2372,D8BFD8
2386,8FBC8B
2400,C0C0C0
2414,D8BFD8
2428,D8BFD8
2442,C0C0C0
2456,8FBC8B
2470,D8BFD8
2484,D8BFD8
2498,D8BFD8
2512,C0C0C0
2526,D8BFD8
2540,C0C0C0
2554,C0C0C0
2568,8FBC8B
2582,D8BFD8
2596,8FBC8B
2610,D8BFD8
2624,D8BFD8
2638,C0C0C0
2652,C0C0C0
2666,D8BFD8
2680,D8BFD8
2694,D8BFD8
2708,8FBC8B
2722,D8BFD8
2736,C0C0C0
2750,C0C0C0
2764,C0C0C0
2778,C0C0C0
2792,C0C0C0
2806,C0C0C0
2820,C0C0C0
2834,C0C0C0
2848,8FBC8B
2862,4FF69B4
2876,C0C0C0
2890,4FF69B4
2904,8FBC8B
2918,C0C0C0
2932,D8BFD8
2946,8FBC8B
2960,C0C0C0
2974,4FF69B4
2988,C0C0C0
3002,C0C0C0
3016,D8BFD8
3030,8FBC8B
